blocknumber,timestamp,poolid,liquidityprovider,token1,tokenout,token1delta,token2delta,protocolfeetoken1,protocolfeetoken2
15081684,1657013459,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e92e51672787504A5f0B085CB6D069faE640520,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-103183603572509262533872,-7789650682,10153432095446314853,0
15124772,1657587958,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x23b6d8e09CB33B1550DE19aC25cC3F41ae4603Bb,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,5410000000000000000000,334000657,1148686998358910261470,0
15133035,1657698343,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xaD5d1F9e5B07ea8ABD262Ed16aAF21cfa9C8EB18,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,2304929660421685855419,128803739,381599332980156329945,0
15153426,1657970427,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xc04aFCeEA0BE5A8CeCe930c4e6208eb03BeCd066,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,500000000000000000000,0,401304464592884233098,0
15160816,1658069858,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB9D53Cc752D3d1888FE8e340a65027C1a2d86f94,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-121366799521103915759970,-7673532764,130589324282231727973,0
15237096,1659094147,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xc04aFCeEA0BE5A8CeCe930c4e6208eb03BeCd066,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0,-109242193,1941829699220970486543,0
15243126,1659175339,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x32241c3ACf2a121Ab8C9138562E15d4FE9e95067,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,17342801083471361212230,920107845,15000001710551180578,0
15261992,1659428879,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x437d69771E4A8e81E5704F4967Dc18a323b3FB0e,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,8712294440408748442056,457766451,114731636031420220622,0
15281489,1659691687,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x64C5029EaA2c985180e604A6Cc6eAe607D12899F,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-116772743339831716353730,-4823581069,651955797940307122111,0
15289124,1659794017,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x465D3cdB4cB6F5209f9334f0984D6C757fcEA08f,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,4446186394951384001977,184259391,6032569103311544758,0
15319834,1660208918,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xB99129701697D1E85c5B77EB57b3603B0bF8b1D5,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-18736782994049868145712,-782399841,268286603227780202659,0
15320746,1660221305,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e92e51672787504A5f0B085CB6D069faE640520,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,100000000000000000000000,2000000000,142406388988876881575,0
15327357,1660312408,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x311Cb5b8C61aC1d160E3D21a0390d9C1Fa64688E,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,329664473579451738537628,8197696544,191689767355772722245,0
15327390,1660312930,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5C89C420A9E82Ea9AEDBaAab03302e39982919b9,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,130842394808246517547372,1865706988,32333611517879410717,0
15330925,1660360146,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x5e92e51672787504A5f0B085CB6D069faE640520,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,87834840333522569746008,1564000000,63666495867179069014,0
15335457,1660421676,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x8272F0E0CC27d19483433b329A9b6eAfC2EF2360,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-11543112377915369286322,-464520818,101166666517577970532,0
15353958,1660674963,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x60a17dfE47C933168e3e0316E5606d3E67940C99,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-39338263723921348466587,-1559537547,179748358873517668580,0
15357201,1660718861,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x23b6d8e09CB33B1550DE19aC25cC3F41ae4603Bb,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-11143773857313490866281,-431860764,55005164555568853720,0
15366040,1660839933,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0xF5307a74d1550739ef81c6488DC5C7a6a53e5Ac2,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,114829728437738099150951,1390809327,248787124578129537647,0
15377924,1661002770,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x64ca35bef43E3358D91001e3FB98AD04fbAef864,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,171938348097863212228557,6032786353,165566750659956166403,0
15403399,1661350634,0x27c9f71cc31464b906e0006d4fcbc8900f48f15f00020000000000000000010f,0x0cb3e38741Ed54FDe0B7b7e1C93DCd28a4A6F15C,0x43D4A3cd90ddD2F8f4f693170C9c8098163502ad,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,-13330813336101234202292,-477676229,166485713843820309911,0
